"metric","value","unit","notes"
"scenarios_executed","4","count","Total chaos scenarios executed"
"overall_fault_phase_availability","50","percent","Across all fault-phase requests"
"overall_recovery_phase_availability","100","percent","Across all recovery-phase requests"
"mean_mttr_ms","3391.02","ms","Proxy MTTR measured as time from fault removal to first successful recovery probe"
"min_mttr_ms","2987.83","ms","Best observed recovery proxy"
"max_mttr_ms","3627.96","ms","Worst observed recovery proxy"
"isolated_failures","4","count","Scenarios with healthy propagation probe"
"cascading_failures","0","count","Scenarios where propagation probe became unreachable"
