"run_id","scenario_id","target_module","target_component","fault_type","dataset_type","fault_requests","fault_success_count","fault_error_count","fault_availability_pct","fault_avg_ms","recovery_requests","recovery_success_count","recovery_availability_pct","recovery_avg_ms","degradation_ratio_fault_vs_recovery","mttr_ms","propagation_probe_url","propagation_probe_status","propagation_probe_reachable","propagation_class","recovered","timestamp_utc"
"20260513-142323","CHS-001-API-DOWN","Catalog/Public API","Landing endpoint availability","API downtime simulation","bounded synthetic","6","0","6","0","2049.68","4","4","100","3335.45","0.615","2987.83","http://localhost/api/integration/v1/_boundary/ping","200","True","isolated","True","2026-05-13T09:23:53.2478292Z"
"20260513-142323","CHS-002-DB-SLOWDOWN","Catalog DB API","Catalog DB query path","Database slowdown proxy (client timeout)","bounded synthetic","6","0","6","0","1010.79","4","4","100","3509.12","0.288","3522.52","http://localhost/api/v1/landing","200","True","isolated","True","2026-05-13T09:24:16.8077783Z"
"20260513-142323","CHS-003-NET-LATENCY","External API Path","Landing endpoint via synthetic latency","Network latency injection (client-side bounded model)","synthetic fault model","6","6","0","100","3439.3","4","4","100","3453.52","0.996","3425.76","http://localhost/api/integration/v1/_boundary/ping","200","True","isolated","True","2026-05-13T09:25:02.9976965Z"
"20260513-142323","CHS-004-CPU-PRESSURE","Web/API runtime","Landing endpoint under local CPU pressure","Resource exhaustion proxy (CPU pressure)","bounded synthetic","6","6","0","100","3429.24","4","4","100","3583.66","0.957","3627.96","http://localhost/api/integration/v1/_boundary/ping","200","True","isolated","True","2026-05-13T09:25:41.5357434Z"
